IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.65.179.157,4,4,0.00,239.55,0.00
104.18.125.81,4,4,0.00,239.60,0.00
104.20.61.74,4,4,0.00,239.76,0.00
172.65.210.159,4,4,0.00,239.94,0.00
104.19.228.40,4,4,0.00,240.07,0.00
104.19.236.19,4,4,0.00,240.53,0.00
104.16.130.38,4,4,0.00,240.97,0.00
172.65.221.215,4,4,0.00,241.22,0.00
172.67.9.74,4,4,0.00,241.82,0.00
104.18.119.117,4,4,0.00,243.24,0.00
104.23.140.78,4,4,0.00,246.89,0.00
172.67.77.192,4,4,0.00,247.56,0.00
172.67.72.132,4,4,0.00,249.02,0.00
172.67.69.139,4,4,0.00,253.10,0.00
172.67.66.32,4,4,0.00,274.41,0.00
104.23.135.7,4,4,0.00,286.30,0.00
172.64.171.225,4,4,0.00,288.76,0.00
172.67.70.129,4,4,0.00,296.76,0.00
172.67.73.78,4,4,0.00,299.49,0.00
104.23.134.192,4,4,0.00,299.64,0.00
172.64.200.214,4,4,0.00,303.18,0.00
172.64.192.101,4,4,0.00,304.41,0.00
172.67.68.90,4,4,0.00,308.47,0.00
172.67.156.218,4,4,0.00,323.74,0.00
172.67.67.85,4,4,0.00,328.13,0.00
172.67.240.95,4,4,0.00,330.35,0.00
172.67.174.120,4,4,0.00,460.73,0.00
172.67.193.181,4,4,0.00,467.15,0.00
172.67.197.72,4,4,0.00,473.30,0.00
172.67.170.214,4,4,0.00,477.35,0.00
104.18.151.254,4,3,0.25,65.55,0.00
104.19.210.8,4,3,0.25,65.74,0.00
104.18.144.202,4,3,0.25,66.42,0.00
104.19.216.107,4,3,0.25,68.15,0.00
104.18.157.195,4,3,0.25,68.51,0.00
104.18.236.98,4,3,0.25,70.51,0.00
104.18.148.122,4,3,0.25,71.87,0.00
104.18.228.113,4,3,0.25,99.23,0.00
162.159.34.13,4,3,0.25,100.92,0.00
104.16.13.235,4,3,0.25,101.24,0.00
104.19.61.252,4,3,0.25,102.45,0.00
104.19.212.3,4,3,0.25,103.67,0.00
104.19.54.12,4,3,0.25,105.01,0.00
104.18.237.5,4,3,0.25,105.21,0.00
104.18.238.247,4,3,0.25,105.55,0.00
104.18.167.46,4,3,0.25,105.60,0.00
104.18.146.23,4,3,0.25,106.49,0.00
104.19.45.42,4,3,0.25,106.54,0.00
104.18.170.76,4,3,0.25,106.71,0.00
